"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"138743","occ","","","11798","Ictitherium","genus","41026","Turolian","","8.7","5.333","11437"
"138744","occ","","","11798","Viverrinae","subfamily","72213","Turolian","","8.7","5.333","11437"
"138826","occ","","","11799","Drepanodon","genus","45918","Late Miocene","Early Pliocene","11.608","3.6","4198"
"150059","occ","","","13293","Lynx","genus","41058","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4412"
"150060","occ","","","13293","Panthera pardus","species","104158","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4412"
"150061","occ","","","13293","Panthera tigris","species","104157","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4412"
"150062","occ","","","13293","Crocuta crocuta","species","232133","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4412"
"150063","occ","","","13293","Paguma larvata","species","232933","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4412"
"150064","occ","","","13293","Herpestes urva","species","240141","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4412"
"150065","occ","","","13293","Viverra zibetha","species","104163","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4412"
"150891","occ","","","13456","Panthera leo","species","46521","Late Pleistocene","Holocene","0.126","0","6077"
"150892","occ","11214","","13456","Crocuta","genus","45364","Late Pleistocene","Holocene","0.126","0","11349"
"150923","occ","","","13472","Crocuta","genus","45364","Middle Miocene","","15.97","11.608","6080"
"150956","occ","","","13473","Crocuta","genus","45364","Late Miocene","","11.608","5.333","6080"
"150957","occ","","","13473","Crocuta","genus","45364","Late Miocene","","11.608","5.333","6080"
"150958","occ","","","13473","Crocuta","genus","45364","Late Miocene","","11.608","5.333","6080"
"150959","occ","","","13473","Vinayakia","genus","41082","Late Miocene","","11.608","5.333","6080"
"150960","occ","","","13473","Megantereon","genus","41060","Late Miocene","","11.608","5.333","6080"
"150961","occ","","","13473","Felidae","family","41045","Late Miocene","","11.608","5.333","6080"
"151009","occ","","","13474","Crocuta","genus","45364","Late Miocene","","11.608","5.333","6080"
"151010","occ","","","13474","Crocuta","genus","45364","Late Miocene","","11.608","5.333","6080"
"151036","occ","","","13477","Ictitherium","genus","41026","Late Miocene","","11.608","5.333","6093"
"153693","occ","","","13907","Leopardus vorohuensis","species","100309","Uquian","","3","1.2","6166"
"154618","occ","","","13738","Panthera tigris","species","104157","Holocene","","0.0117","0","6145"
"157954","occ","","","13998","Adcrocuta","genus","41021","Late Miocene","","11.608","5.333","6183"
"157955","occ","","","13998","Ictitherium","genus","41026","Late Miocene","","11.608","5.333","6183"
"165362","occ","","","14906","Ictidopappus mustelinus","species","47336","Torrejonian","","63.3","61.7","2953"
"177561","occ","","","16842","Nimravidae","family","41036","Duchesnean","","40.4","37.2","1782"
"177837","occ","","","16885","Eusmilus","genus","41040","Chadronian","","37.2","33.9","1235"
"177989","occ","","","16918","Dinictis felina","species","45752","Chadronian","","37.2","33.9","1757"
"178024","occ","","","16919","Dinictis","genus","41039","Chadronian","","37.2","33.9","3318"
"178025","occ","","","16919","Hoplophoneus","genus","41041","Chadronian","","37.2","33.9","3318"
"178170","occ","","","16929","Dinictis","genus","41039","Chadronian","","37.2","33.9","1944"
"178171","occ","","","16929","Hoplophoneus mentalis","species","47102","Chadronian","","37.2","33.9","1944"
"178204","occ","","","16930","Hoplophoneus mentalis","species","47102","Chadronian","","37.2","33.9","2716"
"178243","occ","","","16935","Dinictis","genus","41039","Chadronian","","37.2","33.9","1585"
"178266","occ","","","16938","Eusmilus","genus","41040","Chadronian","","37.2","33.9","1235"
"178267","occ","3523","","16938","Hoplophoneus mentalis","species","47102","Chadronian","","37.2","33.9","6294"
"178462","occ","","","16960","Nimravidae","family","41036","Chadronian","","37.2","33.9","1442"
"178548","occ","3602","","16962","Hoplophoneus mentalis","species","47102","Chadronian","","37.2","33.9","6294"
"178549","occ","","","16962","Dinictis","genus","41039","Chadronian","","37.2","33.9","1442"
"178599","occ","3618","","16963","Hoplophoneus mentalis","species","47102","Chadronian","","37.2","33.9","6294"
"178600","occ","","","16963","Dinictis","genus","41039","Chadronian","","37.2","33.9","1442"
"178637","occ","3630","","16964","Hoplophoneus mentalis","species","47102","Chadronian","","37.2","33.9","6294"
"178638","occ","","","16964","Dinictis","genus","41039","Chadronian","","37.2","33.9","1442"
"178663","occ","3640","","16965","Hoplophoneus mentalis","species","47102","Chadronian","","37.2","33.9","6294"
"178664","occ","","","16965","Dinictis","genus","41039","Chadronian","","37.2","33.9","1442"
"178679","occ","3646","","16966","Hoplophoneus mentalis","species","47102","Chadronian","","37.2","33.9","6294"
"178680","occ","","","16966","Dinictis","genus","41039","Chadronian","","37.2","33.9","1442"
"178712","occ","","","16976","Hoplophoneus","genus","41041","Chadronian","Orellan","37.2","33.3","2541"
"178729","occ","","","16977","Dinictis","genus","41039","Chadronian","","37.2","33.9","1570"
"178957","occ","3711","","17006","Hoplophoneus mentalis","species","47102","Chadronian","","37.2","33.9","6294"
"178958","occ","3712","","17006","Dinictis felina","species","45752","Chadronian","","37.2","33.9","6294"
"179008","occ","","","17009","Palaeogale","genus","40968","Chadronian","","37.2","33.9","2280"
"179044","occ","3739","","17010","Palaeogale sectoria","species","48868","Chadronian","","37.2","33.9","6294"
"179405","occ","","","17067","Hoplophoneus primaevus","species","47845","Orellan","","33.9","33.3","3170"
"179431","occ","","","17077","Hoplophoneus primaevus","species","47845","Orellan","","33.9","33.3","3406"
"179506","occ","3854","","17082","Palaeogale sectoria","species","48868","Orellan","","33.9","33.3","6294"
"179508","occ","","","17082","Dinictis","genus","41039","Orellan","","33.9","33.3","1570"
"179533","occ","3863","","17084","Hoplophoneus primaevus","species","47845","Orellan","","33.9","33.3","6294"
"179578","occ","","","17090","Palaeogale sectoria","species","48868","Orellan","","33.9","33.3","3359"
"179594","occ","3867","","17092","Hoplophoneus primaevus","species","47845","Orellan","","33.9","33.3","6294"
"179616","occ","","","17094","Hoplophoneus","genus","41041","Orellan","","33.9","33.3","6205"
"179617","occ","","","17094","Dinictis","genus","41039","Orellan","","33.9","33.3","6205"
"179650","occ","","","17098","Hoplophoneus primaevus","species","47845","Orellan","","33.9","33.3","1757"
"179651","occ","","","17098","Dinictis felina","species","45752","Orellan","","33.9","33.3","1757"
"179673","occ","","","17100","Dinictis","genus","41039","Orellan","","33.9","33.3","1923"
"179707","occ","","","17103","Dinictis","genus","41039","Orellan","","33.9","33.3","6205"
"179728","occ","3897","","17104","Palaeogale sectoria","species","48868","Orellan","","33.9","33.3","6294"
"179745","occ","3900","","17105","Palaeogale sectoria","species","48868","Orellan","","33.9","33.3","6294"
"179759","occ","3902","","17106","Palaeogale sectoria","species","48868","Orellan","","33.9","33.3","6294"
"179804","occ","","","17111","Palaeogale","genus","40968","Orellan","","33.9","33.3","3318"
"179859","occ","3917","","17120","Eusmilus sicarius","species","46436","Chadronian","Orellan","37.2","33.3","6294"
"179880","occ","","","17131","Hoplophoneus primaevus","species","47845","Orellan","","33.9","33.3","1939"
"179886","occ","","","17133","Dinictis felina","species","45752","Orellan","","33.9","33.3","3170"
"179887","occ","","","17133","Hoplophoneus primaevus","species","47845","Orellan","","33.9","33.3","3170"
"179949","occ","","","17141","Hoplophoneus primaevus","species","47845","Orellan","","33.9","33.3","2711"
"179992","occ","","","17153","Hoplophoneus primaevus","species","47845","Orellan","","33.9","33.3","2711"
"179993","occ","","","17153","Hoplophoneus occidentalis","species","47844","Orellan","","33.9","33.3","2711"
"180010","occ","3964","","17157","Dinictis felina","species","45752","Orellan","","33.9","33.3","6294"
"180011","occ","3965","","17157","Hoplophoneus primaevus","species","47845","Orellan","","33.9","33.3","6294"
"180012","occ","3966","","17158","Eusmilus sicarius","species","46436","Orellan","","33.9","33.3","6294"
"180085","occ","","","17173","Hoplophoneus","genus","41041","Orellan","","33.9","33.3","6205"
